"","Order","Family","Genera","Taxa","iucn_shapefile","molecular_data","iucn_names","Endemic_Revised","depth_upper","depth_lower","main_islands","nwhi","total"
"167","Perciformes","Pomacanthidae ","Centropyge","Centropyge_interrupta",1,0,"Centropyge interruptus",0,15,60,0,0.069151647,0.069151647
"168","Perciformes","Pomacanthidae ","Centropyge","Centropyge_loriculus",1,1,"Centropyge loricula",0,15,60,0.0281382,0.013238413,0.041376613
"169","Perciformes","Pomacanthidae ","Centropyge","Centropyge_potteri",1,1,"Centropyge potteri",1,10,120,0.43196999,0.440099686,0.872069676
"170","Perciformes","Pomacanthidae ","Genicanthus","Genicanthus_personatus",1,0,"Genicanthus personatus",1,10,150,0.465690699,0.47445502,0.940145719
"171","Perciformes","Pomacentridae","Abudefduf","Abudefduf_abdominalis",1,1,"Abudefduf abdominalis",1,1,50,0.448864989,0.447836847,0.896701836
"172","Perciformes","Pomacentridae","Abudefduf","Abudefduf_sordidus",1,1,"Abudefduf sordidus",0,0,3,0.009042816,0.004254449,0.013297265
"173","Perciformes","Pomacentridae","Abudefduf","Abudefduf_vaigiensis",1,1,"Abudefduf vaigiensis",0,1,15,0.009011509,0.008958258,0.017969768
"174","Perciformes","Pomacentridae","Chromis","Chromis_acares",0,1,NA,NA,NA,NA,NA,NA,NA
"175","Perciformes","Pomacentridae","Chromis","Chromis_agilis",0,1,NA,NA,NA,NA,NA,NA,NA
"176","Perciformes","Pomacentridae","Chromis","Chromis_hanui",0,0,NA,NA,NA,NA,NA,NA,NA
"177","Perciformes","Pomacentridae","Chromis","Chromis_leucura",0,0,NA,NA,NA,NA,NA,NA,NA
"178","Perciformes","Pomacentridae","Chromis","Chromis_ovalis",0,0,NA,NA,NA,NA,NA,NA,NA
"179","Perciformes","Pomacentridae","Chromis","Chromis_vanderbilti",0,1,NA,NA,NA,NA,NA,NA,NA
"180","Perciformes","Pomacentridae","Chromis","Chromis_verater",0,0,NA,NA,NA,NA,NA,NA,NA
"181","Perciformes","Pomacentridae","Dascyllus ","Dascyllus_albisella",0,1,NA,NA,NA,NA,NA,NA,NA
"182","Perciformes","Pomacentridae","Plectroglyphidodon","Plectroglyphidodon_imparipennis",0,1,NA,NA,NA,NA,NA,NA,NA
"183","Perciformes","Pomacentridae","Plectroglyphidodon","Plectroglyphidodon_johnstonianus",0,1,NA,NA,NA,NA,NA,NA,NA
