Order,Family,Genera,iucn_names,Taxa,iucn_shapefile,molecular_data,depth_upper,depth_lower,nwhi,main_islands,total_prange,endemicity,missing_species
Perciformes,Lutjanidae ,Lutjanus,NA,Lutjanus_kasmira,1,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Malacanthidae,Malacanthus,NA,Malacanthus_brevirostris,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Oplegnathidae,Oplegnathus,NA,Oplegnathus_fasciatus,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Oplegnathidae,Oplegnathus,NA,Oplegnathus_punctatus,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Chromis,NA,Chromis_acares,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Chromis,NA,Chromis_agilis,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Chromis,NA,Chromis_vanderbilti,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Dascyllus ,NA,Dascyllus_albisella,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Plectroglyphidodon,NA,Plectroglyphidodon_imparipennis,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Plectroglyphidodon,NA,Plectroglyphidodon_johnstonianus,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Stegastes,NA,Stegastes_nigricans,1,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Sphyraenidae ,Sphyraena,NA,Sphyraena_barracuda,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Sphyraenidae ,Sphyraena,NA,Sphyraena_helleri,0,1,NA,NA,NA,NA,NA,NA,1
Sygnathiformes ,Syngnathidae ,Doryrhamphus ,NA,Doryrhamphus_excisus_excisus,1,1,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Balistidae ,Melichthys,NA,Melichthys_vidua,0,1,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Balistidae ,Rhinecanthus,NA,Rhinecanthus_aculeatus,0,1,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Balistidae ,Rhinecanthus,NA,Rhinecanthus_rectangulus,0,1,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Balistidae ,Sufflamen,NA,Sufflamen_bursa,0,1,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Balistidae ,Xanthichthys,NA,Xanthichthys_auromarginatus,0,1,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Ostraciidae ,Ostracion,NA,Ostracion_meleagris,0,1,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Ostraciidae ,Ostracion,NA,Ostracion_whitleyi,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Acanthuridae,Naso,Naso annulatus,Naso_annulatus,1,1,1,60,0.012565636,0.011581725,0.024147361,0,0
Perciformes,Acanthuridae,Naso,Naso brevirostris,Naso_brevirostris,1,1,2,122,0.010104868,0.009313639,0.019418507,0,0
Perciformes,Acanthuridae,Naso,Naso caesius,Naso_caesius,1,1,3,50,0.033699179,0.031276805,0.064975984,0,0
Perciformes,Acanthuridae,Naso,Naso hexacanthus,Naso_hexacanthus,1,1,6,229,NA,NA,NA,NA,1
Perciformes,Acanthuridae,Naso,Naso lituratus,Naso_lituratus,1,1,0,90,0.013477462,0.012422153,0.025899615,0,0
Perciformes,Acanthuridae,Naso,Naso maculatus,Naso_maculatus,1,1,20,220,NA,NA,NA,NA,1
Perciformes,Acanthuridae,Naso,Naso unicornis,Naso_unicornis,1,1,0,80,0.010290588,0.009484817,0.019775405,0,0
Perciformes,Microdesmidae,Nemateleotris,Nemateleotris magnifica,Nemateleotris_magnifica,1,1,6,61,0.011776713,0.007769451,0.019546164,0,0
Beryciformes,Holocentridae ,Neoniphon,Neoniphon aurolineatus,Neoniphon_aurolineatus,1,1,30,160,NA,NA,NA,NA,1
Beryciformes,Holocentridae ,Neoniphon,Neoniphon sammara,Neoniphon_sammara,1,1,1,46,0.012512945,0.011613486,0.024126432,0,0
Perciformes,Labridae,Novaculichthys,Novaculichthys taeniourus,Novaculichthys_taeniourus,1,1,1,35,0.010755706,0.009982562,0.020738268,0,0
Perciformes,Labridae,Oxycheilinus,Oxycheilinus bimaculatus,Oxycheilinus_bimaculatus,1,1,2,110,0.014419277,0.013382786,0.027802063,0,0
Perciformes,Labridae,Oxycheilinus,Oxycheilinus unifasciatus,Oxycheilinus_unifasciatus,1,1,1,161,NA,NA,NA,NA,1
Perciformes,Cirrhitidae,Oxycirrhites,Oxycirrhites typus,Oxycirrhites_typus,1,0,10,100,5.94E-05,0.012926757,0.012986176,0,1
Perciformes,Cirrhitidae,Paracirrhites,Paracirrhites arcatus,Paracirrhites_arcatus,1,1,1,91,0.013782177,0.012791483,0.026573661,0,0
Perciformes,Cirrhitidae,Paracirrhites,Paracirrhites forsteri,Paracirrhites_forsteri,1,1,1,35,0.011869128,0.011015948,0.022885076,0,0
Perciformes,Mullidae,Parupeneus,Parupeneus chrysonemus,Parupeneus_chrysonemus,1,1,20,183,NA,NA,NA,NA,1
Perciformes,Mullidae,Parupeneus,Parupeneus cyclostomus,Parupeneus_cyclostomus,1,1,2,125,0.011033173,0.010820811,0.021853984,0,0
Perciformes,Mullidae,Parupeneus,Parupeneus insularis,Parupeneus_insularis,1,1,1,80,0.046534334,0.045638659,0.092172993,0,0
